,prolific_id_NONE,question_NONE,score_NONE,average_over_questions_NONE,prolific_id_robot,question_robot,score_robot,average_over_questions_robot,prolific_id_human,question_human,score_human,average_over_questions_human
0,5d39ddd133672b0015557242,question9,5.0,4.25,59edc2c816ecc200016ff9cc,question9,4.0,4.875,5c5c4f764ee81200018eaabe,question9,5.0,4.5
1,5bfff3be0ef039000138b699,question9,6.0,1.625,5d77a8b3bedf45000187c499,question9,3.0,3.25,5baa1f618e137f00016264c9,question9,6.0,4.625
2,5850ad3a1c68630001f52533,question9,4.0,3.875,5c6b031a18f539000128f7f9,question9,3.0,3.625,5b44a7f13f470b0001fad504,question9,5.0,4.375
3,5c93de86cf602b000170c25d,question9,3.0,2.625,5a18625a0fff620001a6d60e,question9,3.0,2.5,5a95694a4eecca0001dd4721,question9,2.0,4.125
4,5a6a206f3fb6420001c2d9ef,question9,4.0,2.75,5980f96d413c230001291b41,question9,4.0,3.75,5af892053aba4900015f0592,question9,4.0,3.875
5,5d7946c85d4c06001a5fca59,question9,6.0,4.75,5a6ff03b9cdd18000177543a,question9,5.0,4.25,5c82f678a4c44a001484dc00,question9,2.0,4.375
6,5ca219fec977ef0001547071,question9,4.0,3.75,5cd56625e7f4580015c77130,question9,5.0,3.375,5c5c4f764ee81200018eaabe,question10,4.0,
7,5b3d0c7477cb3a00019c1bb3,question9,1.0,2.25,59edc2c816ecc200016ff9cc,question10,6.0,,5baa1f618e137f00016264c9,question10,3.0,
8,5d39ddd133672b0015557242,question10,3.0,,5d77a8b3bedf45000187c499,question10,2.0,,5b44a7f13f470b0001fad504,question10,4.0,
9,5bfff3be0ef039000138b699,question10,0.0,,5c6b031a18f539000128f7f9,question10,4.0,,5a95694a4eecca0001dd4721,question10,5.0,
10,5850ad3a1c68630001f52533,question10,4.0,,5a18625a0fff620001a6d60e,question10,3.0,,5af892053aba4900015f0592,question10,3.0,
11,5c93de86cf602b000170c25d,question10,4.0,,5980f96d413c230001291b41,question10,4.0,,5c82f678a4c44a001484dc00,question10,6.0,
12,5a6a206f3fb6420001c2d9ef,question10,1.0,,5a6ff03b9cdd18000177543a,question10,3.0,,5c5c4f764ee81200018eaabe,question11,5.0,
13,5d7946c85d4c06001a5fca59,question10,5.0,,5cd56625e7f4580015c77130,question10,6.0,,5baa1f618e137f00016264c9,question11,4.0,
14,5ca219fec977ef0001547071,question10,3.0,,59edc2c816ecc200016ff9cc,question11,5.0,,5b44a7f13f470b0001fad504,question11,0.0,
15,5b3d0c7477cb3a00019c1bb3,question10,0.0,,5d77a8b3bedf45000187c499,question11,4.0,,5a95694a4eecca0001dd4721,question11,5.0,
16,5d39ddd133672b0015557242,question11,5.0,,5c6b031a18f539000128f7f9,question11,5.0,,5af892053aba4900015f0592,question11,4.0,
17,5bfff3be0ef039000138b699,question11,0.0,,5a18625a0fff620001a6d60e,question11,3.0,,5c82f678a4c44a001484dc00,question11,6.0,
18,5850ad3a1c68630001f52533,question11,4.0,,5980f96d413c230001291b41,question11,4.0,,5c5c4f764ee81200018eaabe,question12,4.0,
19,5c93de86cf602b000170c25d,question11,2.0,,5a6ff03b9cdd18000177543a,question11,4.0,,5baa1f618e137f00016264c9,question12,5.0,
20,5a6a206f3fb6420001c2d9ef,question11,3.0,,5cd56625e7f4580015c77130,question11,2.0,,5b44a7f13f470b0001fad504,question12,5.0,
21,5d7946c85d4c06001a5fca59,question11,4.0,,59edc2c816ecc200016ff9cc,question12,5.0,,5a95694a4eecca0001dd4721,question12,3.0,
22,5ca219fec977ef0001547071,question11,4.0,,5d77a8b3bedf45000187c499,question12,3.0,,5af892053aba4900015f0592,question12,3.0,
23,5b3d0c7477cb3a00019c1bb3,question11,1.0,,5c6b031a18f539000128f7f9,question12,2.0,,5c82f678a4c44a001484dc00,question12,4.0,
